"","text"
"1","abdat buka aplikasi respon"
"2","admin langsung laku terima kasih aplikasikasih bintang kembang"
"3","adminkasih solusi nomor tlpn daftarindaftarmobilepakai nomor"
"4","aduk ganggu meter muncul periksa tindak aplikasi paksa nelpon tarif pulsa lumayan mahal masyarakat kelas kayak kasih rating"
"5","aflikasi batu banget"
"6","aflikasi sinyal nyalkalo sinyal digunakanbikin susah karyawan yantek"
"7","ajar"
"8","ajuk daya bangetstandar butuh"
"9","ajuk pasang area jateng update hasil update aplikasi status muncul batalnomor bayar"
"10","ajuk ubah daya"
"11","ajukaplikasi inikenapa"
"12","akhhhcemenkurang profesionaldlm sgala halmsh aplikasi"
"13","akses mohon pasang hilang aplikasi tolong tingkat"
"14","akses token gratis"
"15","aktif fitur linkaja kode verifikasi aplikasi tutup"
"16","aktifin linknomor daftar coba nomor nomor daftar bikin aplikasi rilis rilismending sistemdulujangan gembor iklan manis nyata"
"17","aktivasi akunaktivitas bilang email daftar ganti email"
"18","aktivasi linkaja nomor telepon"
"19","akun efektif bingung"
"20","akun logoutreset password login aplikasi update install ulang ubah kembang"
"21","akun masuk nomor ipdel sayang tanggal jatuh tempo"
"22","akun verifikasi login angkat angkat tolong terima kasih"
"23","akurat lapor tetang padamlistrik aplikasi sala nyala"
"24","akurat telusur lokasi pengaduangagal fokus kali tugas manajemen turun lapang konfirm ktidaknyamanan tanggapcaresalut tugas ramah star"
"25","alahamdulillah mudah berkatmobile"
"26","alam aplikasimobilenasukankait layanmohon fitur chatbutuh ayan tugas lapang kadang layan pengaduanlayanan informasi layan sulit juka informasi langsungkanal resmi terima kasih"
"27","alami ganggu listrik kitarpagi lapormobile kitarkitarriwayattera nyala tugaspelayannanny sopan"
"28","alami login overall aplikasi bantu respon hadap keluh langgan"
"29","alami rumit kasih bintang biar semangatkalau bintang pusing"
"30","alhamdulilah ayan suai listrik nyala"
"31","alhamdulilah bantu aplikasi"
"32","alhamdulilah bantu pulsa gratis pokokpuas aplikasi"
"33","alhamdulilah beban hidup download aplikasi terimakasihmobile"
"34","alhamdulilahamobile bantu kasih"
"35","alhamdulilahdenganmobail lapor ganggu cepatsemoga maju plndan migrasi listrik mudah"
"36","alhamdulilahmaju"
"37","alhamdulillah"
"38","alhamdulillah adayalangsung konfir ayanbagus"
"39","alhamdulillah aplikasi"
"40","alhamdulillah aplikasimobile inisangat bantukeluh"
"41","alhamdulillah bantu"
"42","alhamdulillah bantu aplikasimobile inid ganggu ampir desa mati lampu mati hidupsetelah lapor pakai aplikasi langsung respon listrik nyala"
"43","alhamdulillah bantu aplikasimobiledaya prosescepathanyaselesai terima kasih"
"44","alhamdulillah bantu banget layan cepatbebas pungli"
"45","alhamdulillah bantu mengunakanmobile saran notifikasi kadang transaksi masuk notifikasicontoh terima kasih beli token hasil pakai listrik token aplikasi terima kasih"
"46","alhamdulillah benerbener nyala terimakasihayan cepat lika liku gratiiiisss tiiiissss tolong sistem aplikasi terimakasih"
"47","alhamdulillah ditangani gantimeter terima kasih ayan moga sehat amin"
"48","alhamdulillah fast respon laportelepon tugas moga tindak"
"49","alhamdulillah kasih bintang smogah majuh"
"50","alhamdulillah kasih bintangmobile ditindaklanjuti rumah berik informasi akurat kenatempo goodlah"
"51","alhamdulillah kesan baiklaporsiangpantau tindak lapor appsjm ditlpn teknisi plnjm langsung eksekusi sore kelar masalahpertahankan baikperbaiki bermasalahkalo rekruit operator lapanganteknisi"
"52","alhamdulillah mantap super cepattugaskomplainlangsung ditanggapin terima kasih tugasarea pekanbaru"
"53","alhamdulillah senang lapor tanggap kait listrik moga maju berkembamg"
"54","alhamdulillah sukses progam belanja alat elektronik daya proses pasang cepat langsung pasang aplikasi mohon tingkatkanaa"
"55","alhamdulillah telpon langsung respon langsungganti kabel salur tiang rumah terkelupasdi tunggubesok ganti kabelterimakasih tugas"
"56","alhamdulillah tingkat"
"57","alhamdulillahaku kasihkeluh cepat tangani tugas cekatbilang salah gantung ranting kalo masuklangsung tuju ranting sangkut cepat gaknya trgantung tugas wilayah"
"58","alhamdulillahaplikasi resmi bantu sekal zaman serba canggih kualitas aplikasi mohon error"
"59","alhamdulillahprabayar mudah laku transaksi beli token"
"60","alhamdulillahtanggap ulas selesai instalasi listrik menumobile coba ajuk munculmohon maaf lapor sila coba coba puasmenelfon mogaservicenya thanks"
"61","alhmdllah begutu lapor langsungalhamdulillah lamputerang kerjaramah sopan"
"62","alhmdulillah gawai staframahfast respon feedback masyrktkhususnya wargajatidesa cikarang kotasmgbaiknyala terusmenerangi wilayah indonesia"
"63","alkhamdulillah verifikasi"
"64","allhamdulillah adakanaplikasimobile listrik mudahayanmoga terang dunia"
"65","amanahrengcikawaopacetbandung"
"66","ambil foto galeri lupa posisi rumah foto meter tetangga foto hasil foto kirim"
"67","ambil foto verifikasi"
"68","ambil tokenmobile"
"69","ampas listrik mati lapor listrik mati claim nyala daerahjalur jalur nyala lancar mati bosan lapor"
"70","amplikasi bantu"
"71","andai nomor token beli langsung lihat aplikasi masuk email daftar aplikasi"
"72","andal mati listrik kali siswalistrik padam"
"73","aneh akun linkaja suruh masuk nomor tinggal konekin kayakpertamina"
"74","aneh aplikasiinput idpl"
"75","aneh harga aplikasiasli cobaflip tokped"
