"","text","score","sentiment"
"1","aplikasi tugas lamban",-1,"Negatif"
"2","saran sedangsudah kerja lapor keluh langgan alangkah lampir foto tugas lokasi pelaporkarena tarikkadang histori lapor selesai nyala tugas lokasi",-2,"Negatif"
"3","listrik mati lrbih",-1,"Negatif"
"4","kali prosedur atur sedia aplikasi milik bumn",-1,"Negatif"
"5","daftarloginaneh email mulu daftar sekal aneh sumpah aneh",-2,"Negatif"
"6","usul mudahtoken prabayar cari token beli diinput meter listrik otomatis masuk praktiss salam",-1,"Negatif"
"7","ayan listrik jambi khusus sungai bahar buruk",-1,"Negatif"
"8","lengkap stand meter stand meter",-1,"Negatif"
"9","fiturlengkap paham keluhkonsumenpokok",-1,"Negatif"
"10","kalo kirimlangsung kirim keluh",-1,"Negatif"
"11","fungsi swacam foto meter tanggal february ttpi htungan tagih angka meter tanggal february swacambrguna buang kuota",-1,"Negatif"
"12","ayan lapor padam lansung tindak respon pantau rumah listrik padam",-3,"Negatif"
"13","enak aplikasiriwayat tagih",-1,"Negatif"
"14","aplikasi pokokkecewa situs fictur lengkap lupa downloadmobilecoba langsung download",-2,"Negatif"
"15","aplikasinotifikasi beli token berhasilkadang beli token gagalpadahal beli apajdi khawatirtagih bengkak",-1,"Negatif"
"16","pengaduanbtentang madam listrik daerah rumah rumah",-2,"Negatif"
"17","bagus mudah ecek tagih informasirekening listrik bantu pandemi terimakasih",-1,"Negatif"
"18","bikinmobile listrik tokenpulsa nyala lapormobile lapor status selesaiditengokin teknisi status selesai haaddeeh",-1,"Negatif"
"19","lampu nyala status lapor selesai nyalasudah",-1,"Negatif"
"20","tolong sedia fitur catat meter langgan pascabayar biar catat meter tanggal batas kadang lupa",-1,"Negatif"
"21","status selesai langgan lapor tulis selesai nyata tugas lampu nyalanyala ohhh lucu",-2,"Negatif"
"22","aplikasi erti kerja daftar kali login bilang email daftar sila pilih lupa password coba ganti password hasil login pakai aplikasi kalo sulit",-2,"Negatif"
"23","parahplns karangtanggal mati lampu siangidupyg aneh mati semuatetangga mati listrik idupkan bayar aneh",-2,"Negatif"
"24","mengecewakanrespon lambat",-1,"Negatif"
"25","daftar bilang email daftar pakai fitur lupa sandi email masuk aplikasi fake real",-2,"Negatif"
"26","jaga amanahapapun konsekuensinyakarena konsumen denda telat bayar lupa uangdlltp madammitigasi resiko konsumen",-1,"Negatif"
"27","susah daftar",-2,"Negatif"
"28","cepattokenaplikasi buka sistem sibuk sistem sibuk buka bentar lihat saldomasuk sistem sibuk what kesel",-1,"Negatif"
"29","aplikasi instal masuklanggan muncul batas maksimaldaftarkosong alias",-1,"Negatif"
"30","aplikasi bingung baca lokasi langgan kalosyarat baca lokasi ujung ujung langsung kantor",-3,"Negatif"
"31","errorsaat lapor keluhangangguan",-1,"Negatif"
"32","parah tanggallistrik padammalam tanggal maret malampadam tanggal maretpadam lurah gayamsarisemarang timur kota semarang",-1,"Negatif"
"33","parah pungut biaya tugasrumah biaya masuk akal mendingplaystore",-1,"Negatif"
"34","area kota malang muas respon pelayanannyabelumlapor ditangani",-1,"Negatif"
"35","matab ayan kali meter token komplain menufast respon langsung telepon tugas terimakasih",-1,"Negatif"
"36","sayangmobile cari cewek",-1,"Negatif"
"37","ayan tolong ditingkatkantarip dasar listriksubsidi turun",-2,"Negatif"
"38","kali lapor kali status sala padam kurunayan",-1,"Negatif"
"39","erti keluh masyarakat",-1,"Negatif"
"40","aplikasi sampah ganggu muli",-2,"Negatif"
"41","henti",-1,"Negatif"
"42","selesai bidang unit langgan konfirmasiinformasi kait keluh sampa",-1,"Negatif"
"43","aplikasi bantu keluh langganaduk keluh ganguanlangsung tindak tugasterima kasih ayan",-2,"Negatif"
"44","komplainpagimobile tindak plnstatus riwayat selesai tindak lapang telepon tugas",-1,"Negatif"
"45","lapor aplikasi padam listrikhasil aplikasi tulis nyala selesai nyata nyala listriknyaayolah benarjika nyalatulis nyalaxlapor inidan kenyataannyathx",-2,"Negatif"
"46","susah verifikasi akunpadahal gambarfokustpi",-1,"Negatif"
"47","alhmdllah begutu lapor langsungalhamdulillah lamputerang kerjaramah sopan",-1,"Negatif"
"48","aplikasi sekal keluh langsung direspon tangani terimakasih tugasjuos gandos",-1,"Negatif"
"49","ecek tagih listrik maret",-1,"Negatif"
"50","alhamdulilahdenganmobail lapor ganggu cepatsemoga maju plndan migrasi listrik mudah",-1,"Negatif"
"51","aplikasi bagus asih info riwayat beli token ecek tagih listrik moga update info lengkap",-2,"Negatif"
"52","aplikasi menu ganggu konsumen lapor ganggu madam listrik status lapor selesai alias tertangani teknisi lapang nyata listrik padam kali lapir",-3,"Negatif"
"53","aplikasi inci cantum tagih",-1,"Negatif"
"54","catat tagih listrik kemarin",-1,"Negatif"
"55","camat sungai bahar kabupaten muaro jambi mati lampusolusi rugi orang",-3,"Negatif"
"56","thanks aplikasi bantu mudahminggu listrik rumah drop bingung lapor kantorlaporayan tutup berkat aplikasi lapor ganggu listrik rumah menit tugas langsung meresponmenit tugas rumah fast responmalam thank",-6,"Negatif"
"57","mobile bantu lapor keluh ganggu putar listrik jayaterang neger",-2,"Negatif"
"58","aflikasi sinyal nyalkalo sinyal digunakanbikin susah karyawan yantek",-1,"Negatif"
"59","lapor keluhselesai ghoib",-1,"Negatif"
"60","salah catat angka meter angka menu hapusphoto input ulang mohon info",-1,"Negatif"
"61","terimakasih bantu cari informasi sampa keluh langgan",-2,"Negatif"
"62","butuh token stimulus gagal pakai discount sekal",-1,"Negatif"
"63","saranmobile laku chating online langgan sulit ganggulanggan lapor ganggu tampil progres apajika ganggulisttik padamterima kasih improvemobile",-2,"Negatif"
"64","aplikasimaju konsumen lapor kantorkalilistrik padam guys padam rencana padam rencana padam rencana pemeliharaan kabel konstruksi jaringlistrik kitar padam rencana ganggu lokal hewan sengat listrikpohon robohdll intipadam rugi",-3,"Negatif"
"65","kalitagih muncul idpl blokir terussssssssss",-1,"Negatif"
"66","tolong berik daftar nama toko elektronik tokopedia kerjasedia promo daya terimakasih",-1,"Negatif"
"67","update komplen madam lokasi gagal temu",-1,"Negatif"
"68","lampu desa marom camatkabupaten toba sumatera utara penuh arti cahaya lampu arus mohon hatimasyarakat siksapadam masyarakat batas sabar mohon hati serius",-1,"Negatif"
"69","suai maksud tolong aplikasi lambat",-1,"Negatif"
"70","estimasi biaya ubah daya rumah tangga tarif bisnis usaha tokodari dayabisniswattbrp",-1,"Negatif"
"71","aplikasi menu ganggu konsumen lapor ganggu madam listrik status lapor selesai alias tertangani teknisi lapang nyata listrik padam kali lapir",-3,"Negatif"
"72","masuk walupun daftar uninstall",-1,"Negatif"
"73","kecewa madam buka puasa imsak nyalareapon telepon lapor moga keluarga berik sehat sabar",-2,"Negatif"
"74","mobile bantu mudah langgan ecek bayar tagih listrik lapor ganggu",-1,"Negatif"
