"","text","score","sentiment"
"503","daftar wilayah jawa provinsi jawa timur",1,"Positif"
"2035","ayan buruk listrik pdam lapor aplikasi riwayattbtb selesai datanfg heran nagihcepat gilir ganggu bantususah ampun ayan buruk",-5,"Negatif"
"2967","penangananrespon jelek",-1,"Negatif"
"470","call center sederhana habis pulsa langgan",1,"Positif"
"1990","token mbca lupa screen shootkode token",-1,"Negatif"
"1540","aplikasi erti kerja daftar kali login bilang email daftar sila pilih lupa password coba ganti password hasil login pakai aplikasi kalo sulit",-2,"Negatif"
"823","maaf program stimulus berlaku coba kali april muncul",1,"Positif"
"2886","aplikasi bagus batas aplikasi implemetasi ayan realalami ganggu padam listrik tetangga kiri kanan nyala pakai meter tokenprabayar laporaplikasi catat kitaraneh riwayattulis lapor listrik rumah nyala menit laporpenanganan sekal",-4,"Negatif"
"1122","proses daya ubah npwp",0,"Positif"
"2951","jelek bintangkasih bintang aplikasi tanggap sekal lapor ganggu",-2,"Negatif"
"183","aplikasi mudah dimengerti bantu best pokok",1,"Positif"
"2347","beli token link gagal grafik pemakaian hilang simulasi pasang hilang proses pasang",-3,"Negatif"
"1528","kalo kirimlangsung kirim keluh",-1,"Negatif"
"2514","pakaiprovinsi databasenyagimana lapor gngguan",-1,"Negatif"
"2956","aplikasi bagus mudah langgan informasi putar listrik",-1,"Negatif"
"1331","terimakasih kunjungbojonegororesponbagus miskomunikasi",0,"Positif"
"456","bsgus",0,"Positif"
"1817","tolong cantum angka meter posisi catat kontrol dusta masyarakat bayar tagih pemakaianwajib layan nikmat nikmat hasil masyarakat",-1,"Negatif"
"2372","tingkatayan utama mngendalikan konsumen ggup panik emosi beli token kadang input token gagl usang pakai emosi bawakendala usang token input solusi cepat",-2,"Negatif"
"1092","pemberitahuankali kalibossmenggangu",0,"Positif"
"510","daya vocherproses notif langgan proses mohon mohon daya",0,"Positif"
"948","mobil bagus mantap trimakasihcepat tanggap kemarin padam area kaliabu info jaring senggol truk muat percikpdamnyala mkch",1,"Positif"
"288","bagus banget aplikasiduit bayar",2,"Positif"
"347","bantu kalo keluh bareng contoh lapor bareng tugas laksana keluh pengaruh hadap durasi",0,"Positif"
"1191","saran call centertelpon bebas pulsa layan panggil sekal bayar sekal panggil layan call centerkena tarif sekal panggilanmisalnyasekal panggil layan keluh bantu langgan erti milik ponsel android unduh layanmobile",2,"Positif"
"1808","keluh",-1,"Negatif"
"971","moga ayandampak positif langgan",1,"Positif"
"2676","aplikasi lemot labih bagus update",-1,"Negatif"
"2969","tolong berik daftar nama toko elektronik tokopedia kerjasedia promo daya terimakasih",-1,"Negatif"
"605","harap tindakmuat aplikasi nyata lapang tulis lihat hasil nyata selesai apaapa",0,"Positif"
"1325","terimakasih ayan hati tugassalah paham wajar harapsolid tingkat ayan hadap langgan moga sukses",0,"Positif"
"1182","saesae",0,"Positif"
"733","laku perbuhan tarif daya",0,"Positif"
"1631","mobile bantu mudah langgan ecek bayar tagih listrik lapor ganggu",-1,"Negatif"
"1889","listrik rumah lemot chatdaerah kagak respon taee",-2,"Negatif"
"223","aplikasimobile sentuh hati langgan bayar pakai ribet biaya adminrupiah youre amazinglightindonesia",0,"Positif"
"2780","semenjak hadir aplikasi masyarakat sigli ganti prabayar tunggak bedapaksa listrik prabayar",-2,"Negatif"
"2299","lelet",-1,"Negatif"
"1567","ecek tagih listrik maret",-1,"Negatif"
"1718","please kayak orang stres naikin saklar mati eror kalilambat sekal jarak rumah kantorkota sidoarjo hujan kayak orang stres nyalain saklar mulunyala habis mati mndi susah setrika susah mogakali langsung gilir telatlangsung putus konfirmasi main putus",-12,"Negatif"
"1449","tulis aplikasi kerja device rootroot kemarin upgade versi buka aplikasi becus",1,"Positif"
"1513","vocer listrik gratisberlakutantecovid",0,"Positif"
"502","daftar token gratis april yasoalx suruh disinitlg",0,"Positif"
